id,porepress1,soiltention1,h1x,h1y,h1z,inclination1x,inclination1y
109,4.68,88.73,0.022,0.005,0.025,0.534,0.03
110,4.68,88.73,0.022,0.005,0.025,0.534,0.03
111,4.68,88.73,0.022,0.005,0.025,0.534,0.03
112,4.68,88.73,0.022,0.005,0.025,0.534,0.03
113,4.68,88.73,0.022,0.005,0.025,0.534,0.03
114,4.68,88.73,0.022,0.005,0.025,0.534,0.03
115,4.65,88.73,0.022,0.005,0.05,0.534,0.03
116,4.33,88.73,0.022,0.005,0.05,0.534,0.03
117,4.33,88.73,0.022,0.005,0.05,0.534,0.03
118,4.33,88.73,0.022,0.005,0.05,0.534,0.03
119,4.33,88.73,0.022,0.005,0.05,0.534,0.03
120,4.33,88.73,0.022,0.005,0.05,0.534,0.03
121,4.33,88.73,0.022,0.005,0.05,0.534,0.03
122,4.33,88.73,0.022,0.005,0.05,0.534,0.03
123,4.33,88.73,0.022,0.005,0.05,0.534,0.03
124,4.33,88.73,0.022,0.005,0.05,0.534,0.03
125,4.33,88.73,0.022,0.005,0.05,0.534,0.03
126,4.33,88.73,0.022,0.005,0.05,0.534,0.03
127,4.33,88.73,0.022,0.005,0.05,0.534,0.03
128,4.33,88.73,0.022,0.005,0.05,0.534,0.03
129,4.33,88.73,0.022,0.005,0.05,0.534,0.03
130,4.33,88.73,0.022,0.005,0.05,0.534,0.03
131,3.38,88.73,0.027,0.023,0.05,0.534,0.03
132,3.38,88.73,0.027,0.023,0.05,0.534,0.03
133,3.38,88.73,0.027,0.023,0.05,0.534,0.03
134,3.38,88.73,0.027,0.023,0.05,0.534,0.03
135,3.38,88.73,0.027,0.023,0.05,0.534,0.03
136,4.62,86.78,0.022,0.005,0.025,0.52,0.03
137,4.68,88.73,0.022,0.005,0.025,0.534,0.03
138,4.68,88.73,0.022,0.005,0.025,0.534,0.03
139,4.68,88.73,0.022,0.005,0.025,0.534,0.03
140,4.68,88.73,0.022,0.005,0.025,0.534,0.03
141,4.68,88.73,0.022,0.005,0.025,0.534,0.03
142,4.68,88.73,0.022,0.005,0.025,0.534,0.03
143,4.68,88.73,0.022,0.005,0.025,0.534,0.03
144,4.68,88.73,0.022,0.005,0.025,0.534,0.03
145,4.68,88.73,0.022,0.005,0.025,0.534,0.03
146,4.68,88.73,0.022,0.005,0.025,0.534,0.03
147,4.68,88.73,0.022,0.005,0.025,0.534,0.03
148,4.68,88.73,0.022,0.005,0.025,0.534,0.03
149,4.68,88.73,0.022,0.005,0.025,0.534,0.03
150,4.68,88.73,0.022,0.005,0.025,0.534,0.03
151,4.68,88.73,0.022,0.005,0.025,0.534,0.03
152,4.68,88.73,0.022,0.005,0.025,0.534,0.03
153,4.68,88.73,0.022,0.005,0.025,0.534,0.03
154,4.68,88.73,0.022,0.005,0.025,0.534,0.03
155,4.68,88.73,0.022,0.005,0.025,0.534,0.03
156,4.68,88.73,0.022,0.005,0.025,0.534,0.03
157,4.68,88.73,0.022,0.005,0.025,0.534,0.03
158,4.68,88.73,0.022,0.005,0.025,0.534,0.03
159,3.38,88.73,0.027,0.023,0.05,0.534,0.03
160,3.38,88.73,0.027,0.023,0.05,0.534,0.03
161,3.38,88.73,0.027,0.023,0.05,0.534,0.03
162,3.38,88.73,0.027,0.023,0.05,0.534,0.03
163,3.38,88.73,0.027,0.023,0.05,0.534,0.03
164,4.62,86.78,0.022,0.005,0.025,0.52,0.03
165,4.82,88.9,0.022,0.005,0.025,0.5,0.03
166,4.68,88.73,0.022,0.005,0.025,0.534,0.03
167,3.38,88.73,0.027,0.023,0.05,0.534,0.03
168,4.69,88.73,0.072,0.025,0.025,0.579,0.03
169,4.69,88.73,0.072,0.025,0.025,0.579,0.03
170,4.69,88.73,0.072,0.025,0.025,0.579,0.03
171,4.69,88.73,0.072,0.025,0.025,0.579,0.03
172,4.69,88.73,0.072,0.025,0.025,0.579,0.03
173,4.69,88.73,0.072,0.025,0.025,0.579,0.03
174,4.69,88.73,0.072,0.025,0.025,0.579,0.03
175,3.38,88.73,0.027,0.023,0.05,0.534,0.03
176,3.38,88.73,0.027,0.023,0.05,0.534,0.03
177,3.38,88.73,0.027,0.023,0.05,0.534,0.03
178,3.38,88.73,0.027,0.023,0.05,0.534,0.03
179,3.38,88.73,0.027,0.023,0.05,0.534,0.03
180,3.38,88.73,0.027,0.023,0.05,0.534,0.03
181,3.38,88.73,0.027,0.023,0.05,0.534,0.03
182,3.38,88.73,0.027,0.023,0.05,0.534,0.03
183,3.38,88.73,0.027,0.023,0.05,0.534,0.03
184,3.38,88.73,0.027,0.023,0.05,0.534,0.03
185,3.38,88.73,0.027,0.023,0.05,0.534,0.03
186,3.25,82.87,0.027,0.006,0.05,0.532,0.03
187,3.38,88.73,0.027,0.023,0.05,0.534,0.03
188,3.38,88.73,0.027,0.023,0.05,0.534,0.03
189,3.25,82.87,0.027,0.006,0.05,0.532,0.03
190,3.38,88.73,0.027,0.023,0.05,0.534,0.03
191,3.25,82.87,0.027,0.006,0.05,0.532,0.03
192,3.25,82.87,0.027,0.006,0.05,0.532,0.03
193,3.25,82.87,0.027,0.006,0.05,0.532,0.03
194,3.25,82.87,0.027,0.006,0.05,0.532,0.03
195,3.25,82.87,0.027,0.006,0.05,0.532,0.03
196,3.25,82.87,0.027,0.006,0.05,0.532,0.03
197,3.25,82.87,0.027,0.006,0.05,0.532,0.03
198,3.25,82.87,0.027,0.006,0.05,0.532,0.03
199,3.25,82.87,0.027,0.006,0.05,0.532,0.03
200,3.25,82.87,0.027,0.006,0.05,0.532,0.03
201,3.25,82.87,0.027,0.006,0.05,0.532,0.03
202,3.25,82.87,0.027,0.006,0.05,0.532,0.03
203,3.25,82.87,0.027,0.006,0.05,0.532,0.03
204,3.25,82.87,0.027,0.006,0.05,0.532,0.03
205,3.25,82.87,0.027,0.006,0.05,0.532,0.03
206,3.25,82.87,0.027,0.006,0.05,0.532,0.03
207,3.25,82.87,0.027,0.006,0.05,0.532,0.03
208,3.25,82.87,0.027,0.006,0.05,0.532,0.03
209,3.25,82.87,0.027,0.006,0.05,0.532,0.03
210,3.25,82.87,0.027,0.006,0.05,0.532,0.03
211,3.25,82.87,0.027,0.006,0.05,0.532,0.03
212,3.38,77.73,0.027,0.023,0.05,0.455,0.03
213,4.62,86.78,0.022,0.005,0.025,0.52,0.03
214,4.69,88.73,0.072,0.025,0.025,0.579,0.03
215,3.38,88.73,0.027,0.023,0.05,0.534,0.03
216,4.62,92.7,0.022,0.098,0.028,0.52,0.03
217,4.62,92.7,0.022,0.098,0.028,0.52,0.03
218,4.62,92.7,0.022,0.098,0.028,0.52,0.03
219,4.62,92.7,0.022,0.098,0.028,0.52,0.03
220,4.62,92.7,0.022,0.098,0.028,0.52,0.03
221,4.62,92.7,0.022,0.098,0.028,0.52,0.03
222,4.62,92.7,0.022,0.098,0.028,0.52,0.03
223,4.62,92.7,0.022,0.098,0.028,0.52,0.03
224,4.62,92.7,0.022,0.098,0.028,0.52,0.03
225,4.62,92.7,0.022,0.098,0.028,0.52,0.03
226,4.62,92.7,0.022,0.098,0.028,0.52,0.03
227,4.62,92.7,0.022,0.098,0.028,0.52,0.03
228,4.62,92.7,0.022,0.098,0.028,0.52,0.03
229,4.62,92.7,0.022,0.098,0.028,0.52,0.03
230,4.62,92.7,0.022,0.098,0.028,0.52,0.03
231,4.62,92.7,0.022,0.098,0.028,0.52,0.03
232,4.62,92.7,0.022,0.098,0.028,0.52,0.03
233,4.62,92.7,0.022,0.098,0.028,0.52,0.03
234,4.69,88.73,0.072,0.025,0.025,0.579,0.03
235,4.62,92.7,0.022,0.098,0.028,0.52,0.03
236,4.62,92.7,0.022,0.098,0.028,0.52,0.03
237,4.69,88.73,0.072,0.025,0.025,0.579,0.03
238,4.62,92.7,0.022,0.098,0.028,0.52,0.03
239,4.62,92.7,0.022,0.098,0.028,0.52,0.03
240,4.62,92.7,0.022,0.098,0.028,0.52,0.03
241,4.62,92.7,0.022,0.098,0.028,0.52,0.03
242,4.62,92.7,0.022,0.098,0.028,0.52,0.03
243,4.62,92.7,0.022,0.098,0.028,0.52,0.03
244,4.62,92.7,0.022,0.098,0.028,0.52,0.03
245,4.62,92.7,0.022,0.098,0.028,0.52,0.03
246,4.62,92.7,0.022,0.098,0.028,0.52,0.03
247,4.62,92.7,0.022,0.098,0.028,0.52,0.03
248,4.62,92.7,0.022,0.098,0.028,0.52,0.03
249,4.62,92.7,0.022,0.098,0.028,0.52,0.03
250,4.62,92.7,0.022,0.098,0.028,0.52,0.03
251,4.62,92.7,0.022,0.098,0.028,0.52,0.03
252,4.62,92.7,0.022,0.098,0.028,0.52,0.03
253,4.62,92.7,0.022,0.098,0.028,0.52,0.03
254,4.62,92.7,0.022,0.098,0.028,0.52,0.03
255,4.62,92.7,0.022,0.098,0.028,0.52,0.03
256,4.62,92.7,0.022,0.098,0.028,0.52,0.03
257,4.62,92.7,0.022,0.098,0.028,0.52,0.03
258,4.62,92.7,0.022,0.098,0.028,0.52,0.03
259,4.62,92.7,0.022,0.098,0.028,0.52,0.03
260,4.62,92.7,0.022,0.098,0.028,0.52,0.03
261,4.62,92.7,0.022,0.098,0.028,0.52,0.03
262,4.62,92.7,0.022,0.098,0.028,0.52,0.03
263,4.62,92.7,0.022,0.098,0.028,0.52,0.03
